time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-23T12:11:10.000Z,59.7942,-153.4205,138.9,2.4,ml,,,,1.03,ak,ak11632371,2015-06-23T12:23:04.583Z,"84km E of Old Iliamna, Alaska",earthquake
2015-06-23T12:10:46.540Z,32.6518333,-115.6451667,9.04,1.55,ml,14,204,0.06856,0.21,ci,ci37406360,2015-06-23T16:34:32.340Z,"10km NW of Progreso, B.C., MX",earthquake
2015-06-23T12:00:29.000Z,62.9971,-150.9111,97.8,1.3,ml,,,,0.76,ak,ak11632369,2015-06-23T12:11:14.920Z,"85km NNW of Talkeetna, Alaska",earthquake
2015-06-23T11:55:44.880Z,44.7665,-110.7771667,4.95,1.32,ml,10,110,0.057,0.17,uu,uu60115292,2015-06-23T16:14:10.160Z,"28km ENE of West Yellowstone, Montana",earthquake
2015-06-23T11:37:41.630Z,44.766,-110.7796667,4.15,1.48,ml,9,108,0.055,0.08,uu,uu60115282,2015-06-23T16:09:30.560Z,"28km ENE of West Yellowstone, Montana",earthquake
2015-06-23T11:36:51.498Z,38.6856,-116.4309,9.1158,1.51,ml,9,190.6,0.742,0.1496,nn,nn00499637,2015-06-23T15:27:12.546Z,"55km N of Warm Springs, Nevada",earthquake
2015-06-23T11:31:30.000Z,62.9198,-150.715,102.7,1.5,ml,,,,0.39,ak,ak11632365,2015-06-23T11:42:25.320Z,"73km NNW of Talkeetna, Alaska",earthquake
2015-06-23T11:11:55.190Z,38.7988319,-122.8150024,3.76,1.08,md,18,134,0.01404,0.02,nc,nc72470991,2015-06-23T11:13:29.720Z,"5km WNW of The Geysers, California",earthquake
2015-06-23T10:42:08.390Z,47.8898333,-121.6668333,8.01,1.03,md,8,99,0.3522,0.16,uw,uw61044201,2015-06-23T15:13:54.000Z,"4km NNE of Gold Bar, Washington",earthquake
2015-06-23T10:38:39.000Z,61.0851,-150.5041,25.8,1.1,ml,,,,0.15,ak,ak11632345,2015-06-23T10:46:56.575Z,"35km WSW of Anchorage, Alaska",earthquake
2015-06-23T10:37:56.690Z,47.8668333,-121.6535,9.36,1.13,md,11,103,0.3767,0.13,uw,uw61044196,2015-06-23T15:17:02.650Z,"3km ENE of Gold Bar, Washington",earthquake
2015-06-23T10:24:55.873Z,41.8154,-119.6238,2.8385,1.86,ml,5,230.52,0.189,0.195,nn,nn00499642,2015-06-23T15:27:26.783Z,"72km SE of Lakeview, Oregon",earthquake
2015-06-23T10:20:10.000Z,18.881,-64.2936,12,2.2,Md,4,313.2,0.40154693,0.28,pr,pr15174004,2015-06-23T16:55:00.467Z,"61km NNE of Road Town, British Virgin Islands",earthquake
2015-06-23T09:42:39.000Z,62.8628,-148.3723,49,1.7,ml,,,,0.44,ak,ak11632340,2015-06-23T09:54:12.868Z,"65km SSE of Cantwell, Alaska",earthquake
2015-06-23T09:36:18.000Z,66.2105,-149.6434,16.3,1.1,ml,,,,0.52,ak,ak11632339,2015-06-23T09:48:22.355Z,"119km SSE of Coldfoot, Alaska",earthquake
2015-06-23T08:59:54.750Z,-19.6598,-175.2107,124.43,5.6,mb,,43,5.021,1.12,us,us10002l2m,2015-06-23T15:29:37.040Z,"91km W of Pangai, Tonga",earthquake
2015-06-23T08:39:43.000Z,51.9109,-173.9796,37.4,1.8,ml,,,,0.32,ak,ak11632308,2015-06-23T17:18:04.573Z,"35km SSE of Atka, Alaska",earthquake
2015-06-23T08:28:33.590Z,38.8073349,-122.8891678,5.23,1.35,md,17,90,0.01107,0.03,nc,nc72470971,2015-06-23T08:30:10.620Z,"11km E of Cloverdale, California",earthquake
2015-06-23T08:24:56.120Z,37.4716667,-118.6753333,12.09,1.06,md,13,151,0.1482,0.07,nc,nc72470966,2015-06-23T16:29:11.430Z,"23km WNW of West Bishop, California",earthquake
2015-06-23T08:22:56.900Z,18.006,-68.5542,71,3.2,Md,13,284.4,0.53000602,0.25,pr,pr15174003,2015-06-23T17:06:04.552Z,"41km S of Boca de Yuma, Dominican Republic",earthquake
2015-06-23T08:13:29.000Z,19.2507,-65.741,123,3.1,Md,4,313.2,1.03306258,0.21,pr,pr15174002,2015-06-23T17:06:09.374Z,"91km N of Loiza, Puerto Rico",earthquake
2015-06-23T07:56:29.710Z,40.4603333,-121.5468333,4.56,1.08,md,9,93,0.0223,0.07,nc,nc72470956,2015-06-23T16:15:38.970Z,"29km E of Shingletown, California",earthquake
2015-06-23T07:55:24.400Z,18.0979,-64.432,3,2.1,Md,6,216,0.36112274,0.55,pr,pr15174001,2015-06-23T16:52:04.098Z,"40km SSE of Road Town, British Virgin Islands",earthquake
2015-06-23T07:52:08.220Z,33.7336667,-119.4433333,0,2.31,ml,12,128,0.306,0.21,ci,ci37406296,2015-06-23T18:01:05.944Z,"34km SSE of Santa Cruz Is. (E end), California",earthquake
2015-06-23T07:50:49.500Z,18.5541,-65.2407,37,1.4,Md,3,270,0.24793502,0.2,pr,pr15174000,2015-06-23T16:51:07.667Z,"28km NNE of Culebra, Puerto Rico",earthquake
2015-06-23T07:16:41.900Z,7.9395,-77.9403,16.74,4.4,mb,,94,2.237,0.79,us,us10002l2e,2015-06-23T15:19:19.219Z,"36km SW of Yaviza, Panama",earthquake
2015-06-23T07:15:44.240Z,39.2313333,-123.2065,7.04,1.07,md,6,237,0.07775,0.03,nc,nc72470941,2015-06-23T16:04:06.850Z,"3km S of Redwood Valley, California",earthquake
2015-06-23T07:03:56.500Z,33.9338333,-118.2681667,9.23,1.13,ml,15,75,0.01822,0.26,ci,ci37406272,2015-06-23T15:49:34.152Z,"2km NNW of Willowbrook, California",earthquake
2015-06-23T06:34:03.000Z,66.1573,-150.0144,10.2,1.1,ml,,,,0.59,ak,ak11632293,2015-06-23T06:45:54.778Z,"122km S of Coldfoot, Alaska",earthquake
2015-06-23T05:51:10.000Z,61.5929,-151.3632,70,1.4,ml,,,,,ak,ak11632291,2015-06-23T06:04:28.058Z,"72km WSW of Willow, Alaska",earthquake
2015-06-23T05:28:53.690Z,38.8396683,-122.8088303,0.04,1.27,md,5,216,0.01628,0.11,nc,nc72470901,2015-06-23T05:30:30.330Z,"7km WNW of Cobb, California",earthquake
2015-06-23T04:59:25.000Z,62.2321,-149.6167,42.5,1.6,ml,,,,0.67,ak,ak11632278,2015-06-23T05:16:07.301Z,"14km ENE of Y, Alaska",earthquake
2015-06-23T04:39:55.130Z,32.7298333,-117.3793333,15.33,1.85,ml,19,230,0.1566,0.13,ci,ci37406248,2015-06-23T15:44:43.435Z,"16km SW of La Jolla, California",earthquake
2015-06-23T04:16:39.000Z,62.0164,-149.8443,33.6,1.6,ml,,,,1.48,ak,ak11632274,2015-06-23T04:27:09.412Z,"16km S of Y, Alaska",earthquake
2015-06-23T04:06:57.940Z,19.4095001,-155.2791595,1.73,2.68,ml,31,33,0.003019,0.22,hv,hv60965686,2015-06-23T12:09:42.291Z,"4km WSW of Volcano, Hawaii",earthquake
2015-06-23T03:49:09.000Z,51.2387,-175.1441,60.2,2.1,ml,,,,0.72,ak,ak11632273,2015-06-23T17:05:50.042Z,"124km SSW of Atka, Alaska",earthquake
2015-06-23T03:38:52.130Z,36.4403,-115.2989,12.8839,1.16,ml,7,139.36,0.131,0.1298,nn,nn00499630,2015-06-23T15:26:45.909Z,"30km NW of Nellis Air Force Base, Nevada",earthquake
2015-06-23T03:01:38.000Z,62.9546,-150.4187,103.2,2.4,ml,,,,0.35,ak,ak11632264,2015-06-23T03:18:12.812Z,"72km NNW of Talkeetna, Alaska",earthquake
2015-06-23T02:37:38.710Z,33.9326667,-116.0241667,4.714,1.15,ml,28,107,0.07111,0.17,ci,ci37406232,2015-06-23T04:44:12.770Z,"23km S of Twentynine Palms, California",earthquake
2015-06-23T02:16:52.770Z,33.253,-116.1021667,10.2,1.13,ml,41,46,0.1011,0.2,ci,ci37406216,2015-06-23T15:11:58.477Z,"12km NNE of Ocotillo Wells, California",earthquake
2015-06-23T02:10:40.000Z,61.7914,-151.1875,77,1.9,ml,,,,0.81,ak,ak11632256,2015-06-23T02:21:34.061Z,"60km W of Willow, Alaska",earthquake
2015-06-23T01:38:44.000Z,63.244,-151.8728,0.2,2.1,ml,,,,0.86,ak,ak11632252,2015-06-23T01:53:02.873Z,"136km NW of Talkeetna, Alaska",earthquake
2015-06-23T00:49:44.000Z,58.6748,-151.3392,12.1,2.5,ml,,,,0.75,ak,ak11632238,2015-06-23T08:52:27.058Z,"108km S of Homer, Alaska",earthquake
2015-06-23T00:47:42.680Z,-11.0289,163.8054,44.99,4.8,mb,,112,4.112,1.36,us,us10002l1p,2015-06-23T08:50:10.491Z,"215km ESE of Kirakira, Solomon Islands",earthquake
2015-06-23T00:43:16.270Z,44.4366667,-110.7361667,9.23,1.04,md,8,88,0.122,0.28,uu,uu60115247,2015-06-23T16:54:16.840Z,"7km ESE of Old Faithful Geyser, Wyoming",earthquake
2015-06-23T00:33:33.000Z,63.3423,-149.7537,101.4,1.4,ml,,,,0.64,ak,ak11632235,2015-06-23T00:42:07.253Z,"40km W of Cantwell, Alaska",earthquake
2015-06-23T00:20:07.020Z,38.8079987,-122.7711639,2.29,1.16,md,19,59,0.009106,0.03,nc,nc72470796,2015-06-23T00:21:39.960Z,"3km NNW of The Geysers, California",earthquake
2015-06-23T00:14:14.000Z,64.8433,-149.0022,18.1,1.3,ml,,,,0.69,ak,ak11632233,2015-06-23T00:26:57.688Z,"29km N of North Nenana, Alaska",earthquake
2015-06-23T00:06:31.000Z,61.3075,-152.2777,120,1.9,ml,,,,,ak,ak11632230,2015-06-23T00:21:15.145Z,"87km NW of Nikiski, Alaska",earthquake
2015-06-23T00:02:49.000Z,62.8317,-151.1534,141.4,1.4,ml,,,,0.81,ak,ak11632226,2015-06-23T00:15:26.268Z,"77km NW of Talkeetna, Alaska",earthquake
2015-06-22T23:53:14.000Z,61.3958,-149.7675,28,1.5,ml,,,,0.79,ak,ak11632207,2015-06-23T00:03:47.749Z,"15km SW of Knik-Fairview, Alaska",earthquake
2015-06-22T23:45:39.000Z,60.0846,-153.0357,249.6,1.7,ml,,,,5.29,ak,ak11632206,2015-06-22T23:57:59.103Z,"47km SSW of Redoubt Volcano, Alaska",earthquake
2015-06-22T23:29:05.910Z,19.3684998,-155.2794952,24.86,1.93,md,46,63,0.01544,0.18,hv,hv60965561,2015-06-22T23:32:35.030Z,"8km SSW of Volcano, Hawaii",earthquake
2015-06-22T23:26:14.350Z,53.2887,157.7355,29,4.4,mb,,72,0.182,0.71,us,us10002l1b,2015-06-23T07:28:53.171Z,"44km WNW of Yelizovo, Russia",earthquake
2015-06-22T23:22:02.010Z,45.6898333,-122.39,6.27,1.08,md,13,127,0.3044,0.14,uw,uw61044046,2015-06-23T00:04:43.930Z,"5km N of Fern Prairie, Washington",earthquake
2015-06-22T23:05:55.690Z,13.3956,144.261,149.48,4.5,mb,,61,2.356,0.5,us,us10002l0z,2015-06-23T07:08:23.011Z,"43km W of Agat Village, Guam",earthquake
2015-06-22T23:01:12.100Z,36.5126667,-118.3605,4.71,1.73,ml,18,61,0.2373,0.1,ci,ci37406136,2015-06-23T14:56:56.977Z,"27km WSW of Lone Pine, California",earthquake
2015-06-22T22:44:49.050Z,38.8358333,-122.8015,3.22,1.04,md,39,60,0.009084,0.04,nc,nc72470746,2015-06-23T16:45:47.356Z,"6km WNW of Cobb, California",earthquake
2015-06-22T22:32:01.370Z,34.8121667,-118.921,14.22,1.08,ml,17,80,0.04405,0.13,ci,ci37406120,2015-06-23T14:53:52.124Z,"2km ESE of Frazier Park, California",earthquake
2015-06-22T22:16:20.870Z,35.7647,-97.4081,4.11,3.8,mwr,,19,0.049,0.89,us,us10002l0a,2015-06-23T16:06:16.578Z,"12km S of Guthrie, Oklahoma",earthquake
2015-06-22T22:13:45.000Z,51.8256,178.5403,100.2,2.5,ml,,,,0.38,ak,ak11632181,2015-06-23T06:16:16.575Z,"13km S of Little Sitkin Island, Alaska",earthquake
2015-06-22T22:02:32.650Z,33.1501667,-116.092,10.86,1.7,ml,52,73,0.1423,0.22,ci,ci37406080,2015-06-23T14:50:02.790Z,"4km ENE of Ocotillo Wells, California",earthquake
2015-06-22T21:56:00.000Z,65.0471,-150.658,1.9,1.2,ml,,,,0.86,ak,ak11632176,2015-06-22T22:17:19.619Z,"5km NNW of Manley Hot Springs, Alaska",earthquake
2015-06-22T21:50:23.471Z,39.2115,-115.0602,11.9324,1.46,ml,5,149.4,0.604,0.178,nn,nn00499587,2015-06-22T22:09:17.585Z,"15km WSW of Ely, Nevada",earthquake
2015-06-22T21:49:05.160Z,33.967,-118.349,3.56,2.47,ml,54,52,0.02574,0.25,ci,ci37406072,2015-06-23T18:32:43.961Z,"1km NNW of Inglewood, California",earthquake
2015-06-22T21:40:57.850Z,39.2933,71.744,10,4.6,mb,,79,0.195,1.48,us,us10002kzk,2015-06-23T05:43:41.905Z,"20km ENE of Karakenja, Tajikistan",earthquake
2015-06-22T21:38:37.450Z,37.1108322,-121.3401642,4.94,1.34,md,4,228,0.3196,0.18,nc,nc72470716,2015-06-22T21:40:14.760Z,"23km ENE of Gilroy, California",earthquake
2015-06-22T21:18:18.800Z,36.7505,-121.5995,0.02,1.61,md,33,80,0.0309,0.09,nc,nc72470706,2015-06-23T17:17:23.760Z,"0km NE of Quarry near Salinas, CA",quarry blast
2015-06-22T21:17:20.000Z,64.9689,-147.4443,1.1,1.6,ml,,,,0.57,ak,ak11632061,2015-06-22T21:30:16.333Z,"19km NE of Fairbanks, Alaska",earthquake
2015-06-22T21:17:00.260Z,49.418,-120.5183333,0.01,2.1,md,4,225,0.5981,0.19,uw,uw61044001,2015-06-23T00:02:54.128Z,"4km S of Princeton, Canada",explosion
2015-06-22T21:12:19.500Z,19.252,-64.7092,62,3.1,Md,3,302.4,0.8111787,0.05,pr,pr15173005,2015-06-23T05:14:46.016Z,"92km N of Road Town, British Virgin Islands",earthquake
2015-06-22T21:06:30.420Z,35.7578,-97.4028,5.53,3.7,mb_lg,,21,0.057,0.62,us,us10002kyx,2015-06-23T00:19:12.205Z,"13km NNE of Edmond, Oklahoma",earthquake
2015-06-22T20:43:11.546Z,37.6888,-117.656,4.2369,2.55,ml,19,57.78,0.456,0.1295,nn,nn00499585,2015-06-22T21:53:11.633Z,"37km W of Goldfield, Nevada",earthquake
2015-06-22T20:38:38.000Z,64.4844,-146.8192,0,1.4,ml,,,,0.67,ak,ak11632058,2015-06-22T20:47:37.386Z,"5km SE of Salcha, Alaska",earthquake
2015-06-22T20:34:09.780Z,36.0678333,-120.3475,10.76,1.01,md,20,210,0.03413,0.04,nc,nc72470681,2015-06-23T16:58:49.460Z,"8km S of Coalinga, California",earthquake
2015-06-22T20:14:43.000Z,56.6844,-156.4799,63.9,2.6,ml,,,,0.44,ak,ak11632052,2015-06-23T04:17:26.341Z,"109km NNW of Chirikof Island, Alaska",earthquake
2015-06-22T19:47:26.740Z,35.836,-97.4698,6.81,3.3,mb_lg,,69,0.041,0.13,us,us10002ky4,2015-06-22T23:18:57.653Z,"6km SW of Guthrie, Oklahoma",earthquake
2015-06-22T19:36:23.000Z,64.9386,-151.0197,6,1,ml,,,,0.87,ak,ak11632049,2015-06-22T19:45:02.530Z,"19km WSW of Manley Hot Springs, Alaska",earthquake
2015-06-22T19:11:19.640Z,33.1068333,-117.1356667,0.006,1.07,ml,26,128,0.09135,0.24,ci,ci37405984,2015-06-22T21:16:54.030Z,"5km SE of San Marcos, California",quarry blast
2015-06-22T18:58:35.000Z,60.502,-151.7863,66.1,1.4,ml,,,,0.37,ak,ak11632045,2015-06-22T19:07:39.827Z,"28km WNW of Kalifornsky, Alaska",earthquake
2015-06-22T18:42:26.000Z,61.676,-149.8343,83.2,1.3,ml,,,,0.87,ak,ak11632044,2015-06-22T18:50:22.369Z,"5km N of Houston, Alaska",earthquake
2015-06-22T18:11:13.290Z,41.2056667,-121.986,0.04,1.32,md,12,83,0.1233,0.04,nc,nc72470621,2015-06-22T23:05:35.500Z,"14km ESE of McCloud, California",earthquake
2015-06-22T17:53:22.140Z,34.3376667,-116.8395,0.007,1.42,ml,32,68,0.01435,0.15,ci,ci37405912,2015-06-22T21:33:09.727Z,"8km N of Big Bear City, California",quarry blast
2015-06-22T17:49:18.190Z,38.8055,-122.7916641,1.28,1.42,md,22,101,0.01156,0.03,nc,nc72470611,2015-06-22T17:50:53.050Z,"4km NW of The Geysers, California",earthquake
2015-06-22T17:32:30.000Z,65.8423,-150.7566,8.4,1.8,ml,,,,0.53,ak,ak11632038,2015-06-22T18:06:23.160Z,"93km N of Manley Hot Springs, Alaska",earthquake
2015-06-22T17:26:33.210Z,39.0385,-123.4813333,1.31,1.71,md,12,93,0.04692,0.04,nc,nc72470591,2015-06-22T23:24:42.310Z,"10km WNW of Boonville, California",earthquake
2015-06-22T17:25:14.000Z,58.4134,-154.4289,205.7,2.2,ml,,,,1.1,ak,ak11632036,2015-06-22T17:43:29.377Z,"100km NNW of Larsen Bay, Alaska",earthquake
2015-06-22T17:24:40.000Z,60.1648,-141.2533,0,1.3,ml,,,,1.21,ak,ak11632032,2015-06-22T17:43:28.534Z,"66km E of Cape Yakataga, Alaska",earthquake
2015-06-22T17:15:47.000Z,62.4736,-148.265,42.4,1,ml,,,,0.58,ak,ak11632033,2015-06-22T18:27:16.018Z,"81km NNE of Sutton-Alpine, Alaska",earthquake
2015-06-22T17:07:46.440Z,39.0296669,-122.5739975,1.82,1.69,md,6,117,0.1183,0.08,nc,nc72470566,2015-06-22T17:10:33.790Z,"8km E of Clearlake Oaks, California",earthquake
2015-06-22T16:37:50.270Z,-7.0146,105.3069,47.53,4.9,mb,,171,2.545,0.68,us,us10002kwp,2015-06-22T20:16:44.004Z,"42km WSW of Tugu Hilir, Indonesia",earthquake
2015-06-22T16:33:28.340Z,43.9915,-126.2062,10,2.8,ml,,233,2.166,0.56,us,us10002kwg,2015-06-23T00:36:02.798Z,"168km WNW of Barview, Oregon",earthquake
2015-06-22T16:32:49.000Z,60.9121,-147.1113,20.3,1.3,ml,,,,0.53,ak,ak11631993,2015-06-22T16:54:09.287Z,"47km WSW of Valdez, Alaska",earthquake
2015-06-22T16:29:42.450Z,37.596,-119.7771667,34.49,1.75,md,4,213,0.1781,0.17,nc,nc72470551,2015-06-22T23:23:41.640Z,"13km ENE of Midpines, California",earthquake
2015-06-22T15:51:25.000Z,62.4249,-150.9466,68.4,2.9,ml,,,,0.69,ak,ak11631981,2015-06-22T23:53:56.263Z,"44km WNW of Talkeetna, Alaska",earthquake
2015-06-22T15:50:58.920Z,29.5031,131.3631,22.68,4.1,mb,,165,2.148,0.62,us,us10002kw5,2015-06-22T23:53:30.525Z,"140km SSE of Nishinoomote, Japan",earthquake
2015-06-22T15:35:17.040Z,41.5213,142.1033,58.72,4.9,mb,,83,0.93,0.81,us,us10002kvz,2015-06-23T10:38:26.794Z,"78km ENE of Mutsu, Japan",earthquake
2015-06-22T15:29:22.270Z,38.8133316,-122.8221664,2.53,1.12,md,9,83,0.007062,0.02,nc,nc72470506,2015-06-22T15:30:58.120Z,"6km NW of The Geysers, California",earthquake
2015-06-22T15:28:39.290Z,19.2029991,-155.4281616,31.82,1.94,md,41,142,0.04492,0.21,hv,hv60965366,2015-06-22T15:31:59.190Z,"5km E of Pahala, Hawaii",earthquake
2015-06-22T15:27:57.000Z,63.1773,-151.3274,0,1.2,ml,,,,0.6,ak,ak11631969,2015-06-22T16:06:59.221Z,"113km NNW of Talkeetna, Alaska",earthquake
2015-06-22T15:26:18.670Z,38.8066673,-122.8213348,2.42,1.38,md,21,118,0.00651,0.03,nc,nc72470501,2015-06-22T15:27:53.090Z,"6km WNW of The Geysers, California",earthquake
2015-06-22T15:25:58.570Z,38.8073333,-122.824,2.19,2.71,md,69,26,0.004326,0.07,nc,nc72470496,2015-06-22T19:04:11.799Z,"6km WNW of The Geysers, California",earthquake
2015-06-22T15:09:52.000Z,60.7778,-149.0391,56.4,1.5,ml,,,,1.07,ak,ak11631968,2015-06-22T15:39:57.087Z,"19km W of Whittier, Alaska",earthquake
2015-06-22T14:29:37.937Z,37.008,-118.2593,12.3609,1.29,ml,5,156.77,0.052,0.1611,nn,nn00499536,2015-06-22T15:42:50.964Z,"17km S of Big Pine, California",earthquake
2015-06-22T14:18:25.760Z,33.597,-116.8148333,9.538,1.17,ml,48,32,0.04247,0.12,ci,ci37405792,2015-06-22T21:52:22.720Z,"14km WNW of Anza, California",earthquake
2015-06-22T13:56:00.400Z,18.1888,-66.5749,30,1.9,Md,9,86.4,0.11318773,0.25,pr,pr15173004,2015-06-22T17:20:13.102Z,"3km SSE of Jayuya, Puerto Rico",earthquake
